row,col,year,month,day,hour,B04B,B05B,B06B,B09B,B10B,B11B,B12B,B14B,B16B,I2B,I4B,IRB,VSB,WVB,Label
0,104,2020,10,1,5,0.661438,0.4070333,0.28308105,243.04,248.70662,257.43668,246.19466,258.1158,251.92732,256.91406,287.93484,258.91135,0.5857646,234.35999,0
0,106,2020,10,1,5,0.6634013,0.42333984,0.29222617,243.21333,248.9873,257.42932,246.19185,258.2125,251.9233,257.11035,288.70358,259.00388,0.5779419,234.35999,0
0,114,2020,10,1,5,0.504893,0.34832764,0.25243124,238.94267,245.56596,263.60416,250.4392,261.63934,250.82545,257.84302,294.66904,264.57892,0.3894043,230.82906,0
0,116,2020,10,1,5,0.47487387,0.31375122,0.2452596,234.77,239.22583,251.91699,242.81044,248.9279,240.58833,245.72392,284.60422,252.08612,0.43834433,227.3138,0
0,118,2020,10,1,5,0.48661295,0.32027182,0.25047812,235.995,240.9178,251.27722,242.61688,249.11015,242.33318,246.63957,283.1011,251.75899,0.4526876,228.75618,0
0,119,2020,10,1,5,0.51465863,0.33984375,0.2609253,237.26062,242.12752,251.24298,242.60541,249.85632,243.48369,247.8451,283.0411,251.83772,0.48269653,230.0124,0
0,120,2020,10,1,5,0.51923627,0.34114584,0.25959268,236.054,240.63222,250.54146,242.08562,248.5526,241.88594,246.31665,282.50305,250.64668,0.5166321,229.10667,0
0,122,2020,10,1,5,0.487264,0.31374106,0.23742676,235.16399,240.44026,253.36871,243.77596,250.8891,242.58943,248.01021,282.301,253.49048,0.4259542,228.44714,0
0,125,2020,10,1,5,0.54467773,0.2889506,0.26416016,228.15375,230.90399,236.17781,233.31194,233.97505,230.0977,232.6454,266.22842,236.3014,0.4983622,223.48985,0
0,127,2020,10,1,5,0.5720723,0.25634766,0.26220703,226.16582,228.03166,231.83208,231.23161,230.09998,227.20744,228.76086,261.65976,232.219,0.525767,222.49034,0
0,128,2020,10,1,5,0.61446124,0.22046916,0.25439453,224.44084,225.54749,227.75317,229.09111,226.35474,224.25822,225.32715,257.68665,228.23224,0.5746765,220.84001,0
0,137,2020,10,1,5,0.7318929,0.19958496,0.27461752,216.87,217.13292,217.71533,223.54222,217.09387,216.65143,216.96936,249.8625,218.41194,0.6960144,215.335,1
1,74,2020,10,1,5,0.40572104,0.27590942,0.17415364,240.8608,247.94824,274.1119,257.3067,271.17343,255.35262,265.49673,300.31528,275.38135,0.21979778,232.57617,0
1,102,2020,10,1,5,0.69731647,0.41485596,0.2915751,242.86082,248.70662,257.21802,246.31763,258.21368,251.92531,257.11353,288.20566,259.00894,0.6359965,234.35999,0
1,117,2020,10,1,5,0.4905192,0.2876587,0.25175986,231.40991,235.283,244.40428,238.5002,241.28181,235.27098,238.80798,277.86642,244.26488,0.44421387,225.85364,0
1,119,2020,10,1,5,0.5544637,0.32938638,0.2700399,233.53589,237.79248,244.71559,238.75716,243.1659,237.60588,241.18797,276.95605,244.93239,0.505544,227.24275,0
1,120,2020,10,1,5,0.569458,0.33070883,0.26808676,233.0819,237.0402,243.6675,237.91933,241.98181,236.87944,240.00195,275.58627,243.7284,0.52315265,226.92085,0
1,121,2020,10,1,5,0.569458,0.33070883,0.26808676,233.0819,237.0402,243.6675,237.91933,241.98181,236.87944,240.00195,275.58627,243.7284,0.52315265,226.92085,0
1,132,2020,10,1,5,0.72406006,0.1819865,0.23024495,223.21663,225.00916,226.95024,228.57777,225.09761,223.09904,224.2819,254.34601,227.26357,0.712321,219.74799,0
1,149,2020,10,1,5,0.6040344,0.26026407,0.22568767,233.40932,238.85332,248.75206,241.12689,245.2987,238.53577,242.94444,274.83685,248.20241,0.52250165,226.27667,0
1,150,2020,10,1,5,0.65948486,0.3046163,0.24461873,233.34332,239.11717,250.00578,242.02144,246.08522,238.81743,243.53499,278.8642,249.22278,0.66012573,226.41798,0
2,79,2020,10,1,5,0.38027954,0.25504556,0.13957722,241.59886,250.25,283.1162,263.26984,281.61002,263.10062,275.82007,301.08725,284.91708,0.23024495,233.12285,0
2,99,2020,10,1,5,0.63535565,0.4057312,0.31506348,242.32332,248.56282,257.3307,246.19466,258.32364,252.04,257.12265,290.13205,259.31482,0.52837116,233.81331,0
2,101,2020,10,1,5,0.67317706,0.41159058,0.30395508,242.68164,248.70662,257.22067,246.32039,258.0209,251.82268,256.81665,290.011,259.01337,0.5714213,234.08665,0
2,106,2020,10,1,5,0.651001,0.4037679,0.29548135,242.14026,247.9762,256.54648,245.81372,257.00168,250.31831,255.48,290.13718,258.09244,0.57403564,233.53998,0
2,107,2020,10,1,5,0.651001,0.4037679,0.29548135,242.14026,247.9762,256.54648,245.81372,257.00168,250.31831,255.48,290.13718,258.09244,0.57403564,233.53998,0
2,117,2020,10,1,5,0.5107524,0.2635193,0.25178018,228.2724,231.36633,237.82112,234.91743,235.13002,230.65047,233.1477,270.69467,237.74498,0.48856607,223.80817,0
2,118,2020,10,1,5,0.52053833,0.27590942,0.26026407,228.07098,231.23401,237.08604,234.4709,234.51015,230.1652,232.81519,270.00723,236.81767,0.47029623,223.45984,0
2,119,2020,10,1,5,0.56555176,0.2889506,0.27134195,227.16515,230.21649,234.872,232.74825,232.94252,229.05473,231.13216,267.06058,234.96655,0.5244548,223.02783,0
2,120,2020,10,1,5,0.56555176,0.2889506,0.27134195,227.16515,230.21649,234.872,232.74825,232.94252,229.05473,231.13216,267.06058,234.96655,0.5244548,223.02783,0
2,121,2020,10,1,5,0.5792338,0.2824402,0.2667643,227.9294,230.82776,235.08672,233.19691,233.55214,229.94574,232.30864,265.82672,235.30254,0.5316264,223.72688,0
2,122,2020,10,1,5,0.56815594,0.26612344,0.25698853,227.40047,230.58513,235.64307,233.3249,233.6789,229.948,232.28716,265.16452,235.39099,0.51206464,223.59717,0
2,123,2020,10,1,5,0.5453186,0.2498169,0.24721272,227.17932,229.7727,235.13445,233.13293,233.39502,229.30959,231.62004,263.91684,235.18489,0.46964517,223.24384,0
2,130,2020,10,1,5,0.66796875,0.19699097,0.23742676,223.19751,224.73291,227.55334,228.75,225.41524,223.09386,224.12952,256.64368,227.09975,0.61708575,219.95198,0
2,146,2020,10,1,5,0.723409,0.20284016,0.25764975,220.56946,221.31584,223.39198,226.48552,221.6574,219.94405,220.73286,256.02603,223.38,0.7194926,218.82466,1
2,156,2020,10,1,5,0.49901327,0.3131002,0.24394734,232.05171,237.98845,254.47185,245.48517,249.67778,239.26074,245.46016,287.13638,254.07384,0.40963745,225.3159,0
3,64,2020,10,1,5,0.38613892,0.21591187,0.09653727,243.73335,252.5496,284.648,264.04636,283.6481,264.72638,278.2723,299.07275,286.33594,0.08868408,233.40332,0
3,85,2020,10,1,5,0.4396566,0.3150533,0.2341512,241.41579,247.6794,266.15512,252.3675,264.28494,253.10304,260.4695,300.15353,267.65854,0.28831992,233.26665,0
3,115,2020,10,1,5,0.54596967,0.21525066,0.2289327,226.12749,228.42609,233.73543,232.17714,231.08076,227.31409,229.57939,264.37143,233.51204,0.51400757,222.0435,0
3,118,2020,10,1,5,0.54141235,0.25635782,0.2635193,226.15874,228.73158,233.50531,231.98729,231.18803,227.59492,229.7076,264.3403,233.60132,0.48335776,222.47551,0
3,120,2020,10,1,5,0.5727336,0.26220703,0.2700297,225.61665,227.55249,231.84666,231.2343,229.95966,226.94136,228.64415,262.67575,231.78471,0.5114034,221.88716,0
3,121,2020,10,1,5,0.5968628,0.25502524,0.27070108,224.3875,226.74934,230.29747,230.06207,228.58504,225.94365,227.61641,261.39084,230.04982,0.5531514,221.45515,0
3,145,2020,10,1,5,0.7853902,0.20609538,0.27396646,217.21138,217.44,218.64265,223.90608,217.60555,216.1469,216.77477,254.69934,218.74773,0.7664693,215.53682,1
3,150,2020,10,1,5,0.60859174,0.17611694,0.20350139,224.19319,227.27196,231.4854,230.9383,228.21565,224.10118,226.29112,261.55667,230.406,0.607961,220.28967,1
4,57,2020,10,1,5,0.39071655,0.22697957,0.12132772,243.50804,251.54053,280.0633,260.6898,278.96738,261.87155,274.2746,296.17386,281.26358,0.16566975,233.37117,0
4,58,2020,10,1,5,0.41159058,0.24917603,0.14023845,244.06416,252.40044,280.1811,260.8456,279.47903,262.8062,275.22946,296.43994,281.6892,0.18588257,233.81331,0
4,85,2020,10,1,5,0.4396464,0.31440225,0.23284912,241.41579,247.39526,266.90442,252.71474,264.3984,252.95964,260.1359,300.66562,268.31467,0.2980957,233.26665,0
4,93,2020,10,1,5,0.42920938,0.2993978,0.19959514,241.96497,249.13458,271.9068,256.0602,270.06863,256.8784,265.5603,301.3161,273.86905,0.18196614,233.40332,0
